timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,phase
2026-02-17T17:32:37.034963,50,4.032567,56.41,1.000000e-05,11964,4439490560,4.4395,0.0380,structure
2026-02-17T17:33:40.661537,100,3.476987,32.36,2.000000e-05,16337,4441128960,4.4411,0.0557,structure
2026-02-17T17:34:42.353651,150,2.670412,14.45,3.000000e-05,18742,4442767360,4.4428,0.0729,structure
2026-02-17T17:35:43.847646,200,2.272477,9.70,4.000000e-05,20242,4444405760,4.4444,0.0899,structure
2026-02-17T17:36:45.455521,250,2.054654,7.80,5.000000e-05,21258,4446044160,4.4460,0.1070,structure
2026-02-17T17:37:47.446378,300,1.984181,7.27,6.000000e-05,21975,4447682560,4.4477,0.1243,structure
2026-02-17T17:38:51.034523,350,1.961694,7.11,7.000000e-05,22446,4449320960,4.4493,0.1419,structure
2026-02-17T17:39:54.481389,400,1.942759,6.98,8.000000e-05,22819,4450959360,4.4510,0.1596,structure
2026-02-17T17:40:56.697539,450,1.907296,6.73,9.000000e-05,23163,4452597760,4.4526,0.1768,structure
2026-02-17T17:41:58.896618,500,1.854598,6.39,1.000000e-04,23446,4454236160,4.4542,0.1941,structure
2026-02-17T17:43:02.317236,550,1.880028,6.55,9.933221e-05,23644,4455874560,4.4559,0.2117,structure
2026-02-17T17:44:04.626748,600,1.858023,6.41,9.920541e-05,23845,4457512960,4.4575,0.2290,structure
2026-02-17T17:45:07.240895,650,1.811943,6.12,9.906771e-05,24009,4459151360,4.4592,0.2464,structure
2026-02-17T17:46:09.850794,700,1.832507,6.25,9.891912e-05,24151,4460789760,4.4608,0.2638,structure
2026-02-17T17:47:12.330079,750,1.850299,6.36,9.875970e-05,24279,4462428160,4.4624,0.2812,structure
2026-02-17T17:48:15.177052,800,1.837812,6.28,9.858948e-05,24384,4464066560,4.4641,0.2986,structure
2026-02-17T17:49:17.898359,850,1.804862,6.08,9.840850e-05,24479,4465704960,4.4657,0.3161,structure
2026-02-17T17:50:20.663678,900,1.810416,6.11,9.821680e-05,24564,4467343360,4.4673,0.3335,structure
2026-02-17T17:51:23.262301,950,1.864107,6.45,9.801445e-05,24644,4468981760,4.4690,0.3509,structure
2026-02-17T17:52:25.999079,1000,1.854533,6.39,9.780147e-05,24714,4470620160,4.4706,0.3683,structure
2026-02-17T17:53:30.540419,1050,1.792287,6.00,9.757794e-05,24745,4472258560,4.4723,0.3862,structure
2026-02-17T17:54:32.865506,1100,1.791670,6.00,9.734390e-05,24811,4473896960,4.4739,0.4035,structure
2026-02-17T17:55:35.530018,1150,1.805465,6.08,9.709940e-05,24866,4475535360,4.4755,0.4210,structure
2026-02-17T17:56:38.112933,1200,1.825914,6.21,9.684452e-05,24918,4477173760,4.4772,0.4383,structure
2026-02-17T17:57:40.784113,1250,1.838876,6.29,9.657931e-05,24965,4478812160,4.4788,0.4557,structure
2026-02-17T17:58:43.425664,1300,1.802538,6.07,9.630384e-05,25009,4480450560,4.4805,0.4731,structure
2026-02-17T17:59:45.787863,1350,1.837227,6.28,9.601818e-05,25053,4482088960,4.4821,0.4905,structure
2026-02-17T18:00:48.535395,1400,1.853209,6.38,9.572239e-05,25090,4483727360,4.4837,0.5079,structure
2026-02-17T18:01:51.229357,1450,1.839926,6.30,9.541656e-05,25124,4485365760,4.4854,0.5253,structure
2026-02-17T18:02:53.940569,1500,1.858558,6.41,9.510075e-05,25157,4487004160,4.4870,0.5427,structure
2026-02-17T18:03:57.852389,1550,1.812936,6.13,9.477504e-05,25172,4488642560,4.4886,0.5605,structure
2026-02-17T18:05:00.615549,1600,1.793927,6.01,9.443952e-05,25200,4490280960,4.4903,0.5779,structure
2026-02-17T18:06:03.148839,1650,1.830010,6.23,9.409427e-05,25229,4491919360,4.4919,0.5953,structure
2026-02-17T18:07:05.679679,1700,1.815168,6.14,9.373936e-05,25257,4493557760,4.4936,0.6127,structure
2026-02-17T18:08:08.428468,1750,1.793207,6.01,9.337490e-05,25280,4495196160,4.4952,0.6301,structure
2026-02-17T18:09:11.819757,1800,1.798318,6.04,9.300097e-05,25296,4496834560,4.4968,0.6477,structure
2026-02-17T18:10:15.213024,1850,1.783425,5.95,9.261766e-05,25310,4498472960,4.4985,0.6653,structure
2026-02-17T18:11:18.018398,1900,1.777815,5.92,9.222506e-05,25330,4500111360,4.5001,0.6828,structure
2026-02-17T18:13:44.012781,50,4.054581,57.66,1.000000e-05,16576,4439490560,4.4395,0.0275,structure
2026-02-17T18:14:47.490659,100,3.498667,33.07,2.000000e-05,20188,4441128960,4.4411,0.0451,structure
2026-02-17T18:15:51.399891,150,2.708036,15.00,3.000000e-05,21727,4442767360,4.4428,0.0628,structure
2026-02-17T18:16:55.382934,200,2.316334,10.14,4.000000e-05,22582,4444405760,4.4444,0.0806,structure
2026-02-17T18:17:59.530311,250,2.085976,8.05,5.000000e-05,23118,4446044160,4.4460,0.0984,structure
2026-02-17T18:19:03.838487,300,2.003979,7.42,6.000000e-05,23480,4447682560,4.4477,0.1163,structure
2026-02-17T18:20:08.148235,350,1.968609,7.16,7.000000e-05,23746,4449320960,4.4493,0.1342,structure
2026-02-17T18:21:12.377779,400,1.911499,6.76,8.000000e-05,23953,4450959360,4.4510,0.1520,structure
2026-02-17T18:22:16.591201,450,1.889163,6.61,9.000000e-05,24117,4452597760,4.4526,0.1698,structure
2026-02-17T18:23:20.515385,500,1.876006,6.53,1.000000e-04,24260,4454236160,4.4542,0.1876,structure
2026-02-17T18:24:25.517315,550,1.961281,7.11,8.426413e-05,24343,4455874560,4.4559,0.2057,structure
2026-02-17T18:25:29.421268,600,1.976677,7.22,8.149037e-05,24446,4457512960,4.4575,0.2234,structure
2026-02-17T18:26:33.552969,650,1.891835,6.63,7.855312e-05,24528,4459151360,4.4592,0.2412,structure
2026-02-17T18:27:37.513897,700,1.885285,6.59,7.547052e-05,24602,4460789760,4.4608,0.2590,structure
2026-02-17T18:28:41.686995,750,1.884435,6.58,7.226158e-05,24662,4462428160,4.4624,0.2768,structure
2026-02-17T18:29:45.802282,800,1.890382,6.62,6.894611e-05,24716,4464066560,4.4641,0.2946,structure
2026-02-17T18:30:50.191843,850,1.896626,6.66,6.554458e-05,24758,4465704960,4.4657,0.3125,structure
2026-02-17T18:31:54.740785,900,1.889015,6.61,6.207797e-05,24792,4467343360,4.4673,0.3304,structure
2026-02-17T18:32:58.912027,950,1.888644,6.61,5.856767e-05,24829,4468981760,4.4690,0.3483,structure
2026-02-17T18:34:03.082572,1000,1.897587,6.67,5.503536e-05,24864,4470620160,4.4706,0.3661,structure
2026-02-17T18:35:08.584896,1050,1.867179,6.47,5.150283e-05,24871,4472258560,4.4723,0.3843,structure
2026-02-17T18:36:12.908442,1100,1.886658,6.60,4.799188e-05,24897,4473896960,4.4739,0.4021,structure
2026-02-17T18:37:16.695625,1150,1.886368,6.60,4.452419e-05,24931,4475535360,4.4755,0.4199,structure
2026-02-17T18:38:20.508816,1200,1.867888,6.47,4.112114e-05,24961,4477173760,4.4772,0.4376,structure
2026-02-17T18:39:24.634220,1250,1.890686,6.62,3.780375e-05,24984,4478812160,4.4788,0.4554,structure
2026-02-17T18:40:28.590982,1300,1.925857,6.86,3.459249e-05,25008,4480450560,4.4805,0.4732,structure
2026-02-17T18:41:32.664899,1350,1.929198,6.88,3.150717e-05,25028,4482088960,4.4821,0.4910,structure
2026-02-17T18:42:36.296787,1400,1.900066,6.69,2.856683e-05,25053,4483727360,4.4837,0.5086,structure
2026-02-17T18:43:40.087318,1450,1.929950,6.89,2.578963e-05,25074,4485365760,4.4854,0.5264,structure
2026-02-17T18:44:43.945586,1500,1.905164,6.72,2.319270e-05,25093,4487004160,4.4870,0.5441,structure
2026-02-17T18:45:48.750220,1550,2.144072,8.53,2.079207e-05,25099,4488642560,4.4886,0.5621,structure
2026-02-17T18:46:52.240447,1600,2.302189,10.00,1.860255e-05,25121,4490280960,4.4903,0.5797,structure
2026-02-17T18:47:55.659136,1650,2.126950,8.39,1.663766e-05,25142,4491919360,4.4919,0.5974,structure
2026-02-17T18:48:59.418458,1700,2.016110,7.51,1.490952e-05,25158,4493557760,4.4936,0.6151,structure
2026-02-17T18:50:02.976467,1750,1.978361,7.23,1.342880e-05,25175,4495196160,4.4952,0.6327,structure
2026-02-17T18:51:06.980696,1800,1.992002,7.33,1.220464e-05,25187,4496834560,4.4968,0.6505,structure
2026-02-17T18:52:10.842627,1850,1.984189,7.27,1.124459e-05,25199,4498472960,4.4985,0.6682,structure
2026-02-17T18:53:14.738592,1900,1.953182,7.05,1.055458e-05,25211,4500111360,4.5001,0.6860,structure
2026-02-17T18:54:18.864104,1950,1.962297,7.12,1.013886e-05,25219,4501749760,4.5017,0.7038,structure
2026-02-17T18:55:22.653832,2000,1.978448,7.23,1.000000e-05,25231,4503388160,4.5034,0.7215,structure
2026-02-17T18:57:35.443703,2050,2.276701,9.74,7.999810e-05,24604,4505026560,4.5050,0.7584,stories
2026-02-17T18:58:37.082289,2100,2.649138,14.14,7.999226e-05,24647,4506664960,4.5067,0.7755,stories
2026-02-17T18:59:38.338116,2150,2.640024,14.01,7.998247e-05,24692,4508303360,4.5083,0.7925,stories
2026-02-17T19:00:38.994224,2200,2.564798,13.00,7.996873e-05,24741,4509941760,4.5099,0.8094,stories
2026-02-17T19:01:40.980002,2250,2.577276,13.16,7.995105e-05,24776,4511580160,4.5116,0.8266,stories
2026-02-17T19:02:43.000898,2300,2.656343,14.24,7.992943e-05,24809,4513218560,4.5132,0.8438,stories
2026-02-17T19:03:44.295750,2350,2.689366,14.72,7.990386e-05,24847,4514856960,4.5149,0.8609,stories
2026-02-17T19:04:45.137192,2400,2.648477,14.13,7.987436e-05,24887,4516495360,4.5165,0.8778,stories
2026-02-17T19:05:45.772749,2450,2.577834,13.17,7.984092e-05,24928,4518133760,4.5181,0.8946,stories
2026-02-17T19:06:46.491034,2500,2.574466,13.12,7.980355e-05,24966,4519772160,4.5198,0.9115,stories
2026-02-17T19:07:48.935658,2550,2.614872,13.67,7.976225e-05,24989,4521410560,4.5214,0.9288,stories
2026-02-17T19:08:49.799436,2600,2.593997,13.38,7.971704e-05,25024,4523048960,4.5230,0.9457,stories
2026-02-17T19:09:50.523149,2650,2.536321,12.63,7.966790e-05,25058,4524687360,4.5247,0.9626,stories
2026-02-17T19:10:51.398529,2700,2.480725,11.95,7.961485e-05,25090,4526325760,4.5263,0.9795,stories
