timestamp,step,epoch,loss,learning_rate,tokens_per_sec,elapsed_hours
2026-02-19T22:53:16.634711,10,1,4.384804,1.000000e-05,2264,0.0078
2026-02-19T22:53:25.193715,20,1,4.289574,2.000000e-05,3492,0.0102
2026-02-19T22:53:33.795250,30,1,4.230107,3.000000e-05,4239,0.0126
2026-02-19T22:53:42.472561,40,1,4.198003,4.000000e-05,4728,0.0150
2026-02-19T22:53:51.182344,50,1,4.167941,5.000000e-05,5074,0.0174
2026-02-19T22:53:59.903471,60,1,4.090750,6.000000e-05,5346,0.0198
2026-02-19T22:54:08.629455,70,1,4.041510,7.000000e-05,5549,0.0222
2026-02-19T22:54:17.361477,80,1,4.000373,8.000000e-05,5718,0.0247
2026-02-19T22:54:26.091791,90,1,3.963375,9.000000e-05,5851,0.0271
2026-02-19T22:54:34.821081,100,1,3.935218,1.000000e-04,5962,0.0295
2026-02-19T22:54:51.559134,110,1,3.916742,9.999865e-05,5665,0.0342
2026-02-19T22:55:00.270574,120,1,3.891791,9.999398e-05,5775,0.0366
2026-02-19T22:55:08.997361,130,1,3.895456,9.998598e-05,5874,0.0390
2026-02-19T22:55:17.723147,140,1,3.880555,9.997465e-05,5957,0.0414
2026-02-19T22:55:26.465414,150,1,3.867698,9.995998e-05,6022,0.0439
2026-02-19T22:55:35.202687,160,1,3.852370,9.994199e-05,6088,0.0463
2026-02-19T22:55:43.938521,170,1,3.846548,9.992066e-05,6159,0.0487
2026-02-19T22:55:52.678104,180,1,3.820232,9.989601e-05,6209,0.0511
2026-02-19T22:56:01.420335,190,1,3.816696,9.986803e-05,6258,0.0536
2026-02-19T22:56:10.159994,200,1,3.802855,9.983673e-05,6301,0.0560
2026-02-19T22:56:25.789257,210,1,3.789903,9.980211e-05,6139,0.0603
2026-02-19T22:56:34.524994,220,1,3.781271,9.976416e-05,6182,0.0628
2026-02-19T22:56:43.264198,230,1,3.767582,9.972290e-05,6223,0.0652
2026-02-19T22:56:51.999278,240,1,3.753023,9.967833e-05,6258,0.0676
2026-02-19T22:57:00.748292,250,1,3.745278,9.963045e-05,6292,0.0701
2026-02-19T22:58:20.905386,260,2,3.608310,9.957926e-05,4963,0.0923
2026-02-19T22:58:29.543012,270,2,3.469216,9.952477e-05,5022,0.0947
2026-02-19T22:58:38.253497,280,2,3.335712,9.946698e-05,5079,0.0971
2026-02-19T22:58:46.989273,290,2,3.190596,9.940590e-05,5133,0.0996
2026-02-19T22:58:55.721927,300,2,3.055890,9.934152e-05,5186,0.1020
2026-02-19T22:59:17.752986,310,2,3.056374,9.927386e-05,5056,0.1081
2026-02-19T22:59:26.476697,320,2,3.060841,9.920293e-05,5103,0.1105
2026-02-19T22:59:35.207650,330,2,3.062112,9.912871e-05,5148,0.1130
2026-02-19T22:59:43.943803,340,2,3.068324,9.905123e-05,5194,0.1154
2026-02-19T22:59:52.681453,350,2,3.066864,9.897049e-05,5238,0.1178
2026-02-19T23:00:01.431728,360,2,3.068194,9.888648e-05,5279,0.1202
2026-02-19T23:00:10.189461,370,2,3.066997,9.879923e-05,5318,0.1227
2026-02-19T23:00:18.966191,380,2,3.081200,9.870873e-05,5355,0.1251
2026-02-19T23:00:27.740530,390,2,3.090185,9.861499e-05,5388,0.1276
2026-02-19T23:00:36.518746,400,2,3.104010,9.851803e-05,5421,0.1300
2026-02-19T23:00:53.869053,410,2,3.105180,9.841783e-05,5359,0.1348
2026-02-19T23:01:02.615095,420,2,3.116236,9.831443e-05,5393,0.1372
2026-02-19T23:01:11.369183,430,2,3.117869,9.820781e-05,5425,0.1397
2026-02-19T23:01:20.139600,440,2,3.115430,9.809799e-05,5457,0.1421
2026-02-19T23:01:28.936718,450,2,3.107632,9.798498e-05,5487,0.1446
2026-02-19T23:01:37.732065,460,2,3.102284,9.786879e-05,5518,0.1470
2026-02-19T23:01:46.528515,470,2,3.109426,9.774941e-05,5546,0.1494
2026-02-19T23:01:55.330716,480,2,3.109923,9.762688e-05,5574,0.1519
2026-02-19T23:02:04.145049,490,2,3.122174,9.750118e-05,5598,0.1543
2026-02-19T23:02:12.956770,500,2,3.140103,9.737234e-05,5623,0.1568
2026-02-19T23:03:42.054152,510,3,2.980099,9.724035e-05,4954,0.1815
2026-02-19T23:03:50.703282,520,3,2.785571,9.710524e-05,4987,0.1839
2026-02-19T23:03:59.421985,530,3,2.599278,9.696701e-05,5019,0.1864
2026-02-19T23:04:08.162974,540,3,2.414002,9.682567e-05,5048,0.1888
2026-02-19T23:04:16.917631,550,3,2.225242,9.668123e-05,5075,0.1912
2026-02-19T23:04:25.676914,560,3,2.218223,9.653370e-05,5103,0.1936
