timestamp,step,variant,round,loss,learning_rate,tokens_per_sec
,1,v01_dense_small,1,10.9011,3.00e-06,870
,50,v01_dense_small,1,9.7576,1.50e-04,17854
,100,v01_dense_small,1,7.7605,3.00e-04,22473
,150,v01_dense_small,1,7.5243,2.89e-04,24563
,200,v01_dense_small,1,7.4485,2.57e-04,25770
,250,v01_dense_small,1,7.3717,2.08e-04,26523
,300,v01_dense_small,1,7.2431,1.51e-04,26999
,350,v01_dense_small,1,7.229,9.37e-05,27388
,400,v01_dense_small,1,7.2007,4.48e-05,27671
,450,v01_dense_small,1,7.1817,1.19e-05,27897
,500,v01_dense_small,1,7.1464,4.63e-09,28091
,1,v02_dense_medium,1,10.9689,3.00e-06,1036
,50,v02_dense_medium,1,9.3326,1.50e-04,12579
,100,v02_dense_medium,1,7.6239,3.00e-04,14061
,150,v02_dense_medium,1,7.5027,2.89e-04,14672
,200,v02_dense_medium,1,7.4042,2.57e-04,14977
,250,v02_dense_medium,1,7.321,2.08e-04,15164
,300,v02_dense_medium,1,7.1911,1.51e-04,15292
,350,v02_dense_medium,1,7.1823,9.37e-05,15378
,400,v02_dense_medium,1,7.1536,4.48e-05,15436
,450,v02_dense_medium,1,7.1261,1.19e-05,15480
,500,v02_dense_medium,1,7.0956,4.63e-09,15515
,1,v03_diffattn_small,1,10.9081,3.00e-06,1129
,50,v03_diffattn_small,1,9.7973,1.50e-04,14137
,100,v03_diffattn_small,1,7.7862,3.00e-04,16107
,150,v03_diffattn_small,1,7.529,2.89e-04,16861
,200,v03_diffattn_small,1,7.4288,2.57e-04,17260
,250,v03_diffattn_small,1,7.3406,2.08e-04,17502
,300,v03_diffattn_small,1,7.2187,1.51e-04,17644
,350,v03_diffattn_small,1,7.2214,9.37e-05,17758
,400,v03_diffattn_small,1,7.1828,4.48e-05,17853
,450,v03_diffattn_small,1,7.1689,1.19e-05,17927
,500,v03_diffattn_small,1,7.1384,4.63e-09,17995
,1,v04_diffattn_medium,1,10.93,3.00e-06,993
,50,v04_diffattn_medium,1,9.2928,1.50e-04,8523
,100,v04_diffattn_medium,1,7.613,3.00e-04,9220
,150,v04_diffattn_medium,1,7.4829,2.89e-04,9466
,200,v04_diffattn_medium,1,7.3781,2.57e-04,9585
,250,v04_diffattn_medium,1,7.3008,2.08e-04,9658
