timestamp,step,loss,perplexity,learning_rate,tokens_per_sec,tokens_total,tokens_billions,elapsed_hours,phase
2026-02-19T14:08:24.710814,50,9.668996,15819.45,5.000000e-05,18514,1228800,0.0012,0.0184,structure
2026-02-19T14:08:40.674972,100,8.509634,4962.34,1.000000e-04,29848,2457600,0.0025,0.0229,structure
2026-02-19T14:08:56.796483,150,6.174523,480.35,1.500000e-04,37441,3686400,0.0037,0.0273,structure
2026-02-19T14:09:12.673936,200,4.436924,84.51,2.000000e-04,42989,4915200,0.0049,0.0318,structure
2026-02-19T14:09:28.564635,250,3.606249,36.83,2.500000e-04,47180,6144000,0.0061,0.0362,structure
2026-02-19T14:09:44.518693,300,3.126241,22.79,3.000000e-04,50436,7372800,0.0074,0.0406,structure
2026-02-19T14:10:00.494263,350,2.819758,16.77,3.000000e-04,53045,8601600,0.0086,0.0450,structure
2026-02-19T14:10:16.378551,400,2.636856,13.97,3.000000e-04,55215,9830400,0.0098,0.0495,structure
2026-02-19T14:10:32.267079,450,2.478445,11.92,3.000000e-04,57027,11059200,0.0111,0.0539,structure
2026-02-19T14:10:48.200272,500,2.368776,10.68,3.000000e-04,58553,12288000,0.0123,0.0583,structure
2026-02-19T14:11:06.956771,550,2.334650,10.33,3.000000e-04,59124,13516800,0.0135,0.0635,structure
2026-02-19T14:11:22.911195,600,2.296144,9.94,3.000000e-04,60291,14745600,0.0147,0.0679,structure
2026-02-19T14:11:38.894899,650,2.201970,9.04,3.000000e-04,61309,15974400,0.0160,0.0724,structure
2026-02-19T14:11:54.800838,700,2.169375,8.75,3.000000e-04,62226,17203200,0.0172,0.0768,structure
2026-02-19T14:12:10.711870,750,2.142880,8.52,3.000000e-04,63043,18432000,0.0184,0.0812,structure
2026-02-19T14:12:26.639837,800,2.051505,7.78,3.000000e-04,63771,19660800,0.0197,0.0856,structure
2026-02-19T14:12:42.587377,850,2.092092,8.10,3.000000e-04,64425,20889600,0.0209,0.0901,structure
2026-02-19T14:12:58.544957,900,2.084332,8.04,3.000000e-04,65015,22118400,0.0221,0.0945,structure
2026-02-19T14:13:14.500545,950,1.978306,7.23,3.000000e-04,65552,23347200,0.0233,0.0989,structure
2026-02-19T14:13:30.417396,1000,1.962791,7.12,3.000000e-04,66051,24576000,0.0246,0.1034,structure
2026-02-19T14:13:47.826425,1050,1.964242,7.13,3.000000e-04,66253,25804800,0.0258,0.1082,structure
2026-02-19T14:14:03.787615,1100,1.920464,6.82,3.000000e-04,66676,27033600,0.0270,0.1126,structure
2026-02-19T14:14:19.786667,1150,1.917302,6.80,3.000000e-04,67060,28262400,0.0283,0.1171,structure
2026-02-19T14:14:35.990457,1200,1.890219,6.62,3.000000e-04,67385,29491200,0.0295,0.1216,structure
2026-02-19T14:14:52.328315,1250,1.808586,6.10,3.000000e-04,67667,30720000,0.0307,0.1261,structure
2026-02-19T14:15:08.479510,1300,1.841903,6.31,3.000000e-04,67956,31948800,0.0319,0.1306,structure
2026-02-19T14:15:24.477143,1350,1.813524,6.13,3.000000e-04,68247,33177600,0.0332,0.1350,structure
2026-02-19T14:15:40.465788,1400,1.756808,5.79,3.000000e-04,68522,34406400,0.0344,0.1395,structure
2026-02-19T14:15:56.528386,1450,1.727282,5.63,3.000000e-04,68769,35635200,0.0356,0.1439,structure
2026-02-19T14:16:12.766539,1500,1.731031,5.65,3.000000e-04,68978,36864000,0.0369,0.1485,structure
2026-02-19T14:16:30.079832,1550,1.751652,5.76,3.000000e-04,69041,38092800,0.0381,0.1533,structure
2026-02-19T14:16:46.067310,1600,1.725403,5.61,3.000000e-04,69261,39321600,0.0393,0.1577,structure
2026-02-19T14:17:02.089370,1650,1.723668,5.61,3.000000e-04,69465,40550400,0.0406,0.1622,structure
2026-02-19T14:17:18.045963,1700,1.676407,5.35,3.000000e-04,69666,41779200,0.0418,0.1666,structure
2026-02-19T14:17:33.987065,1750,1.658992,5.25,3.000000e-04,69858,43008000,0.0430,0.1710,structure
2026-02-19T14:17:49.982771,1800,1.697984,5.46,3.000000e-04,70034,44236800,0.0442,0.1755,structure
2026-02-19T14:18:05.979571,1850,1.703441,5.49,3.000000e-04,70202,45465600,0.0455,0.1799,structure
2026-02-19T14:18:21.926222,1900,1.640961,5.16,3.000000e-04,70367,46694400,0.0467,0.1843,structure
2026-02-19T14:18:37.995161,1950,1.603051,4.97,3.000000e-04,70511,47923200,0.0479,0.1888,structure
2026-02-19T14:18:54.012491,2000,1.622483,5.07,3.000000e-04,70654,49152000,0.0492,0.1932,structure
2026-02-19T14:19:21.622966,2050,1.645137,5.18,3.000000e-04,69656,50380800,0.0504,0.2009,structure
2026-02-19T14:19:37.514842,2100,1.651715,5.22,3.000000e-04,69820,51609600,0.0516,0.2053,structure
2026-02-19T14:19:53.511831,2150,1.601083,4.96,3.000000e-04,69969,52838400,0.0528,0.2098,structure
2026-02-19T14:20:09.388050,2200,1.541119,4.67,3.000000e-04,70122,54067200,0.0541,0.2142,structure
2026-02-19T14:20:25.403146,2250,1.574981,4.83,3.000000e-04,70256,55296000,0.0553,0.2186,structure
2026-02-19T14:20:41.362571,2300,1.577980,4.85,3.000000e-04,70390,56524800,0.0565,0.2231,structure
2026-02-19T14:20:57.348124,2350,1.574363,4.83,3.000000e-04,70516,57753600,0.0578,0.2275,structure
2026-02-19T14:21:13.453375,2400,1.596953,4.94,3.000000e-04,70628,58982400,0.0590,0.2320,structure
2026-02-19T14:21:29.471618,2450,1.619224,5.05,3.000000e-04,70742,60211200,0.0602,0.2364,structure
2026-02-19T14:21:45.448702,2500,1.577724,4.84,3.000000e-04,70856,61440000,0.0614,0.2409,structure
2026-02-19T14:22:03.302495,2550,1.468251,4.34,3.000000e-04,70815,62668800,0.0627,0.2458,structure
2026-02-19T14:22:19.355617,2600,1.495104,4.46,3.000000e-04,70917,63897600,0.0639,0.2503,structure
